state,source_packet,yaml_dir,worksheet_tests,cross_model,aggregate,notes
IL,done,done,done,done,blocked_weights,"Source packet normalized; IL/IN/MI rolling-federal-AGI flat-tax validation cohort; nonresident allocation and data-limited credits remain documented. 2026-08-22: PE window closed. Residual was one IL personal exemption per dependent aged 18+ (mode -120 in 2022-23, -137 in 2024 = $2,425/$2,775 x 4.95%); PolicyEngine gates the exemption on under-18 while 35 ILCS 5/204 has no age condition and TAXSIM matches us at 1.0000 all four years. Age-cliff probe-confirmed; excluded. PE cells 0.932/0.925/0.937 -> 0.995/0.993/0.995. All eight cells clear. See external_model_issues.md P9"
CO,done,done,done,in_progress,blocked_weights,"Source packet normalized; CO/ND/SC federal-taxable-income cohort; child-care credits and trigger-dependent future credits remain documented. TRIAGE 2026-08-11: NO encoding defects found — 7 TAXSIM probe shapes exact (all rate vintages incl. TABOR 2019 4.5%, pension exclusion, SS-within-cap mechanics); residual clean-match gap = pre-registered federal-side SALT-circularity/sales-tax wedge absorbed dollar-for-dollar by the fed-taxable start (KD row added); PE window remains TABOR-excluded. 2026-08-22: NOT closed, 0.953/0.888/0.883/0.881 -> 0.983/0.944/0.942/0.939, encoding unchanged. Two confirmed causes: (1) T19, TAXSIM omits the 55-64 tier of the C.R.S. 39-22-104(4)(f) pension subtraction ($20,000; it models only the 65+ $24,000 tier) -- probe siitax identical at ages 50/57/60/64 and drops only at 65; modes -900/-1800 = $20k/$40k at 4.50%; 55-64 band matched 0.693 vs 0.922 for 65+. (2) CO variant of the crosswalk-exposure class, via the 39-22-104(3)(d) state-income-tax ADDBACK rather than a state itemized deduction, so keyed on federal itemizing like UT. Residual is now diffuse (largest mode 5 records, non-itemizers 0.943) and points nowhere yet; no live PE cell to cross-check (all four excluded by TABOR netting)"
NY,done,done,done,in_progress,blocked_weights,"Source packet normalized; NY/CT graduated-federal-AGI recapture cohort; NYC/Yonkers/MCTMT and specialized credits remain documented. RESOLVED 2026-08-11 (both open items): (1) the +$327 recapture-zone jump is WORKSHEET-TRUE — IT-201 supplemental-tax hand computation matches our endpoints exactly (12,900.00 / 13,227.46 across the 215,400 entry; incremental benefit 1,830.90 x phase 0.162 + rate step = +327.45) and PE 1.775.7 concurs within cents; sweep allowance comment updated. (2) The PE-2023 collapse is PE booking the 2025 NY inflation refund checks ($200/$400) into TY2023 (ny_inflation_refund_credit, formula_2023) — exclude KD row w/ pe_ny_inflation_refund predicate + issues-doc P5; post-exclusion 2023 clean 0.683 on the surviving n_clean=63 (rebate reached ~55% of records), 2022/2024 0.833/0.797 unaffected 2026-08-15 (CA close-out spillover): the state-only-itemization fix (*_item_ded_potential) plus the standard crosswalk-exposure KD row lifts the TAXSIM clean window to 0.841/0.838/0.838/0.841 (from 0.53-0.63). NY PE 2023 (n=63, the P5-collapsed cell) moved -1 record. 2026-08-22 CLASS SWEEP: P9 confirmed for this state but ANNOTATED not excluded -- the per-dependent amount is below the $100 harness tolerance, so one dependent aged 18+ cannot produce a mismatch and an exclusion removed matching records (demonstrated on the first rerun). Still bites with two or more such dependents. Encoding unchanged"
AK,done,done,done,done,blocked_weights,No broad IIT; zero-tax stub encoded
AL,done,done,done,in_progress,blocked_weights,"Form 40 baseline TY2017-2025. OWN BASE (start_point 0, ob_* shares): AL builds its own income concept, not federal AGI. SS and UI FULLY EXEMPT (no provisional test). ob_class_floor 0 -- AL has no PA-style class loss ring-fence and is MORE generous than federal on capital losses (entire loss deductible, no $3k cap). Rates 2/4/5% at 500/3,000 (1,000/6,000 MFJ) UNCHANGED all nine years -- booklets print no rate schedule, so the ladder was recovered from the over-$100,000 worksheet constants ($4,958/$4,918, invariant in all nine); those sit $2 below exact because AL's tax table is a MIDPOINT table. HEAD OF FAMILY SHARES THE SINGLE LADDER (the table has only two tax columns) though it gets the $3,000 exemption. FULL UNCAPPED federal income tax deduction (constitutional, Amendment 225): base = 1040 line 22 + NIIT ADDED BACK - (EITC + ACTC + refundable AOC), so AL subtracts the ACTC where MO does not and does NOT subtract net PTC where MO does -- hence the fed_tax_ded_less_* flags are per-credit. PERVERSE CONSEQUENCE: claiming the federal EITC RAISES AL tax (pinned by AL-6a/6b). NEW GENERIC std_po_amount_per_step + std_po_floor: the AGI-sliding standard deduction in fixed DOLLAR steps (max/threshold/step/decrement/floor per status, three vintages 2017-18, 2019-21 thresholds-only, 2022+ Act 2022-292) -- machine-verified against every printed chart row, 1508/1512 probe points exact, the 4 misses being a single ADOR TYPO carried four years (MFJ row printed 25,500-26,999 must read 26,500-26,999; encode 26,500). Vintage B MFS thresholds are NOT half the joint ones (10,750/15,500 vs 23,500/33,000) -- a real asymmetry printed identically in 2019/2020/2021. NEW GENERIC dep_tier_* family: AGI-tiered DEPENDENT exemption $1,000/$500/$300 with HARD CLIFFS on AL AGI (first bound 20k->50k for TY2022; amounts never changed). NEW GENERIC ob_ira_share splitting IRAs from pensions (an IRA can never be a 414(j) DB plan; PA unaffected, both zero). Own Schedule A via item_component_style 1 + item_add_payroll -- AL DEDUCTS EMPLOYEE FICA, which is what pushes many AL filers to itemize while taking the federal standard deduction; election is INDEPENDENT of federal. Act 2022-294 $6,000 age-65 retirement exclusion from TY2023 (amount/age/year verified; PER-PERSON reading UNVERIFIED -- detail is in Schedule RS, not retrieved). BIGGEST KD: the IRC 414(j) DEFINED BENEFIT exclusion is NOT MODELED -- 1040 line 5b pools DB with 401(k) distributions and box 7 codes do not separate them; overstates AL tax for DB retirees (most AL pension retirees), clears with the Tier 1 pension-source imputation. SECOND HOLE: the overtime pay exemption (Act 2023-421?) appears NOWHERE in any booklet (zero hits for 'overtime') because it runs through withholding and Schedule W-2 -- dates/scope/cap all UNVERIFIED, a real gap for TY2024-25 wages. Separate AL returns not modeled: the ladder is split-neutral but the std slide and dependent cliffs key on each spouse's OWN AL AGI, so uneven couples gain by splitting -- needs the planned generic min-liability election pass (R2.6, with WI Act 15). Tests AL-1..AL-10 2026-08-22 CLASS SWEEP: landed the DC/CA crosswalk-exposure class, added by sweep rather than per-state dig. Exposed records match at 0.225 against 0.885 unexposed on 22.4% of the clean subset (pooled 2017-2020); the predicate fires on no record in any of the ten states whose encoding gives the class no route, which is the control that rules out ""federal itemizers are simply harder"". TAXSIM cells 0.875/0.705/0.709/0.690 -> 0.880/0.885/0.890/0.884. Encoding unchanged. See class_sweep_2026_08_22.md"
AR,done,done,done,in_progress,blocked_weights,"AR1000F baseline TY2017-2025. Full OWN-BASE state (rebuilds income line by line, no federal-AGI line). THE SCHEDULE IS NOT A LADDER: the booklet prints a dense $100-step table and DFA publishes a separate one-page 'Indexed Tax Brackets' memo giving the closed form as rate x income MINUS an adjustment. Encoded via base_amounts with base_j = rate_j x bracket_j - adj_j (identically equal to the published form), converted PROGRAMMATICALLY from the transcribed memo and verified back at eight published points across five years -- exact every time. Two features need the discontinuities kept: (1) a genuine NOTCH through TY2021 because the statute runs THREE whole-income tables selected by income level, so TY2020 taxable 22,899 owes 537.00 and 22,900 owes 717.29 -- a $180 jump on one dollar (pinned by AR-2a/2b; Act 1 of 2022 merged the rows); and (2) a RECAPTURE TAIL clawing back the lower brackets -- through TY2021 a few ~$1,000 rows whose adjustment drops $100 at each boundary (encoded band for band, cliffs intact, continuity allowance 150 = 100 + 6.9% x the 500 sweep step), and from TY2022 a granular $100/$10 staircase encoded as ONE ramp band at the average slope (endpoints exact, max deviation one $10 step). Top rate 6.9 -> 6.6 (2020) -> 5.9 (2021) -> 4.90 (2022) -> 4.70 (2023) -> 3.90 (2024-25). Std deduction FLAT at 2,200/4,400 through TY2021 then INDEXED from TY2022 under 26-51-430(c) (CPI capped at 3%, rounded to $10). NO EXEMPTIONS -- AR grants personal CREDITS instead (exempt_credit machinery): $26 through TY2019 and $29 from TY2020 (the widely-quoted $26 is right only through 2019; it is CONDITIONALLY indexed off a CY2001 $20 base and only steps when a revenue trigger fires, which is why it moved once in nine years). 50% of net LONG-TERM capital gain excluded (short-term fully taxable, hence the new ob_st_gains_share); $6,000 retirement exemption per taxpayer, flat, never indexed, NO age test on the employer-plan branch; SS fully exempt; UI FLIPS THREE TIMES (exempt 2017, taxable 2018-19, exempt 2020-21, taxable 2022+). Child care credit 20% of the federal CDCC, nonrefundable. NO STATE EITC -- a verified negative (zero hits in all nine booklets, no AR1000TC line), encoded explicitly. BIGGEST KD: the five LOW INCOME TAX TABLES are a taxpayer ELECTION used instead of the schedule AND instead of any deduction, zeroing tax below their thresholds -- modelling them needs the generic min-liability election pass already queued for WI Act 15 and AL separate returns. Also not modeled: filing status 4 (MFS on the SAME return) applies the schedule TWICE per spouse column and bars the low-income tables; AR did NOT conform to TCJA's itemized changes (still allows 2% misc and casualty, no SALT cap, 10% medical floor, moving expenses) so itemizers are understated; the TY2022-23 Inflationary Relief credit and the TY2022+ Qualified Individuals credit ($60 plateau, -$5/$100, looked up PER SPOUSE); the deaf and head-of-household extra personal credits; the $500 developmental-disabilities credit; the TY2021+ decoupling of the child care credit from ARPA. Tests AR-1..AR-7 2026-08-22 CLASS SWEEP: landed the DC/CA crosswalk-exposure class, added by sweep rather than per-state dig. Exposed records match at 0.180 against 0.724 unexposed on 14.4% of the clean subset (pooled 2017-2020); the predicate fires on no record in any of the ten states whose encoding gives the class no route, which is the control that rules out ""federal itemizers are simply harder"". TAXSIM cells 0.724/0.616/0.635/0.621 -> 0.724/0.709/0.725/0.737. Encoding unchanged. See class_sweep_2026_08_22.md"
AZ,done,done,done,in_progress,blocked_weights,"Resident Form 140 baseline through TY2025; dependent credit, charitable standard add-on, and historical schedules covered; see source packet for PUF and itemized-deduction limits. DIG 2026-08-11: PE-2021 outlier (mean_abs ~$819k) = ~20 giant-AGI fed-misaligned records already quarantined by clean metrics (no action); PE-2021 clean depression = PE booking the SB 1734 Families Tax Rebate ($250/dep, max 3, fall-2023 checks) into TY2021 — exclude KD row w/ pe_az_families_rebate predicate (issues-doc P5); post-exclusion PE clean 0.87-0.88 ALL FOUR YEARS (2021 0.693 -> 0.882) 2026-08-22 CLASS SWEEP: P9 confirmed for this state but ANNOTATED not excluded -- the per-dependent amount is below the $100 harness tolerance, so one dependent aged 18+ cannot produce a mismatch and an exclusion removed matching records (demonstrated on the first rerun). Still bites with two or more such dependents. Encoding unchanged"
CA,done,in_progress,in_progress,done,blocked_weights,"Cross-model TRIAGED and largely CLOSED 2026-08-15. TAXSIM clean match@100 0.981/0.975/0.970/0.965 for 2017-2020 (from 0.61-0.73) -- clears the bar in all four years; PE 0.966/0.943/0.957/0.936 (2021/2023 clear; 2022/2024 miss by 1-5 scattered low-income credit-margin records -- punch list in reports/ca.md). The triage surfaced a CROSS-STATE defect: do_taxes.R zeroed *_item_ded components for federal std-takers, so independent-election states could never itemize state-only; fixed via *_item_ded_potential columns (tests CA-11/CA-12), lifting DE/NY/MN/NC by 20-33pp under the standard exposure KD rows. CA-side fixes: sub_ui_share (Schedule CA UI subtraction), 2017 CalEITC age band 25-64, year-keyed CalEITC income gates. Seven CA KD rows; issues T15 (TAXSIM 2017 CalEITC to 65+ childless, live-verified, packet in bug_reports/), P6 (PE MFS CalEITC), P7 (PE no CA muni addback) filed in research/state_tax/cross_model/external_model_issues.md. Regular-tax scalar series, dependent worksheet, high-income itemized limitation, BHST, CalEITC/YCTC encoded; 2015/2025 conformity bridge overlays still unavailable (federal-reform runs guarded) and P1 remains blocked on credit-eligibility proxies -- see research/state_tax/notes/ca_parameter_analysis.md and research/state_tax/notes/ca_p1_readiness_analysis.md 2026-08-16: CalEITC table-lookup rounding fixed (fractional incomes fell in the one-dollar crack between whole-dollar FTB bins and got $0; floor(x+0.5) per the sibling KY/CT callers; test CA-13). Final rates: TAXSIM 0.982/0.976/0.972/0.966; PE 0.966/0.943/0.967/0.946 (2022/2024 miss the bar by ~2 records each). Only CA cells moved. 2026-08-16 batch: HSA addback (add_hsa, IRC 223 nonconformity, test CA-14), model-wide US-obligation interest subtraction (sub_us_int x 15% share, ALL-states KD exclude txbl_int>5000, test CA-15), CalEITC investment-income ceiling (FTB 3514 limits 3,561-4,814 by year, test CA-16). Post-batch: TAXSIM 0.980/0.974/0.968/0.965; PE 0.965/0.950/0.969/0.944. 182 cells model-wide improved >=0.3pp under the interest exclusion; all cleared states held. 2026-08-16 (2): CA CDCTC encoded (FTB 3506 stepped 50/43/34% tiers via the generic NY-style share bands, nonrefundable; tests CA-17/17b/17c) -- its omission matched the PE residual to the dollar on five records and repaired TAXSIM v38 records too. PE itemizer-exposure KD row added (xw_pe_unhanded_item covariate; PE receives only prop/mortgage/charity/childcare); P8 filed (PE skips the FTB 3514 earned-vs-AGI second lookup, table-exact on two records). CROSS_MODEL DONE: all eight cells clear 95% -- TAXSIM 0.985/0.977/0.972/0.969, PE 0.995/0.965/0.984/0.967. Residuals explained in reports/ca.md (one unexplained recurring PE record, 154685). Misc itemized + CA AMT follow-up planned in research/state_tax/notes/ca_misc_amt_plan.md. 2026-08-22: PE window closed. Residual was one CA dependent exemption credit per dependent aged 18+ (mode -433 in 2022, -446 in 2023 = the credit exactly); PolicyEngine gates it on under-18 while R&TC 17054(d) uses IRC 152 with no age test, and TAXSIM does not share the behaviour. Age-cliff probe-confirmed; excluded. PE cells 0.942/0.915/0.931/0.944 -> 0.986/0.984/0.988/0.979. All eight cells clear. See external_model_issues.md P9"
CT,done,done,done,in_progress,blocked_weights,"CT-1040 baseline through TY2025; NY/CT recapture cohort (stepped Tables C-D), Table A/E phase-outs, SS/pension/IRA subtractions incl. 2024 phase-out table, EITC match + 2025 child bonus, property tax credit covered; TRS/military pension split and gross-income filing test remain documented. TRIAGE 2026-08-11: dominant TAXSIM mass (-$900, 222/yr) = TAXSIM stepping Table C recapture past the statutory $5,400 MFJ cap to a $6,300 plateau (probe-mapped; ours matches the published table, CT-2) -- exclude KD on the exposure set; small +/-$20-90 masses = Table A/B/C band-edge steps (annotate); PE 2022 dip (0.773) = PE booking the one-time 2022 child tax rebate ($250/child) into TY2022 -- exclude KD on new pe_ct_rebate export (P5 class). CLOSE-OUT RERUN: TAXSIM 0.93/0.93/0.89/0.88 (recapture exclusion applied), PE 0.88/0.84/0.88/0.89"
DC,done,done,done,in_progress,blocked_weights,"ENCODED 2026-08-13; cross-model TRIAGE CLOSED 2026-08-15 (was partially characterised 2026-08-13). ONE OUR-SIDE FIX: the D-40 state-refund subtraction (Line 8 in 2017 / Line 9 in 2020) was missing -- sub_state_ref now 1, test DC-10; its omission was 76-86% of fed-aligned AGI-stage mismatches every year. THE DEDUCTION STAGE WAS THE CROSSWALK, NOT DC LAW: TAXSIM v35 == (mortgage + otheritem + proptax handed) less the 5%-over-200k limitation, EXACT on 96.2-96.6% of both-itemizing records 2018-2020 and 98.1% of 2017 below-Pease -- TAXSIM applies Calculation F correctly but cannot strip as-reported income/sales taxes inside otheritem and never receives inv-interest/Sch-A-other (new harness covariates xw_unstripped_salt/xw_unhanded_item; exclude KD). The 2026-08-14 low-AGI std-fallback reading was WRONG: probe shows strict coupling per 47-1803.03(c) (v34 printed, unused). TAXSIM BUG FOUND (issues-doc T14, exclude KD on ui>0): TAXSIM subtracts UI from DC AGI 2017-2020 though the booklets print ALL unemployment compensation is taxable (DC exempted UI only from TY2021); in 2020 it stacks on the federal ARPA exclusion (same 5k removed twice). Schedule H netted into siitax by TAXSIM (v37 masses at 1,025-1,200; our pre-registered Tier-1 omission) -- exclude KD on v37>0. 2017 exemption/std wedges = TAXSIM mstat/HoH-derivation (UT structural class; probe: single+2deps -> v33 = 7,100 = FOUR exemptions incl. the 2017 HoH extra; the stepped phase-out itself probes EXACT at six knots) -- exclude KD on the UT fs/n_dep predicate; blind add-ons annotated (no TAXSIM blind input). CLOSE-OUT RERUN: TAXSIM clean 0.814/0.917/0.914/0.912 (from 0.471/0.623/0.619/0.627). PE window 0.751/0.832/0.807/0.818, residual = PE modeling Schedule H (masses at the 1,250/1,325 maxima) + KCCATC, both pre-registered omissions on our side; NEXT STEP if PE cells must clear: export pe_dc_ptc/pe_dc_kccatc in src/tests/state/cross_model/pe_state_tax.py + exclude KDs + PE-window rerun. 2017 residual (0.814) = the annotate-only Low Income Credit + over-Pease crosswalk records + Pease-prorating approximation (packet items 2/8). TAXSIM bug-report packets for T6-T14 built and verified via research/state_tax/cross_model/taxsim_bug_reports.do (bug_reports/); emails to NBER not yet sent"
